LON,LAT,rating_date,score
-61.22790358,-26.69270334,2022-08-22,0
-61.1828668,-33.7819831,2021-01-29,0
-61.1828668,-33.7819831,2021-02-22,0
-61.18267361,-35.168882,2023-03-06,0
-61.18150631,-35.16789738,2020-02-21,2
-61.1674313,-35.1793069,2021-02-09,0
-61.14811447,-34.01700639,2020-02-26,2
-61.14087709,-34.00116507,2021-02-22,1
-61.12487885,-31.65174163,2020-03-17,2
-61.1103647,-30.667599,2020-01-06,0
-61.0679839,-31.6687543,2021-01-23,2
-61.0507144,-34.6306568,2022-02-02,0
-61.04489643,-31.72525106,2020-04-07,2
-61.02953233,-31.5587199,2021-12-02,3
-61.02953233,-31.5587199,2022-01-28,2
-61.02915679,-26.32518141,2022-08-22,0
-61.0083732,-31.7750222,2021-01-23,2
-60.9927946,-26.8168281,2022-08-22,0
-60.9629249,-34.2493134,2020-02-26,2
-60.9427297,-31.2119744,2021-01-23,2
-60.930409,-34.6340362,2020-02-26,3
-60.9293646,-34.6348824,2021-02-02,0
-60.8862341,-26.2273163,2022-08-22,0
-60.7952234,-34.0062283,2022-01-31,4
-60.78911009,-34.01123064,2023-03-06,0
-60.7702802,-34.2197876,2021-02-22,1
-60.76355958,-31.54070671,2023-01-12,0
-60.76187143,-31.54492739,2021-12-29,3
-60.76187143,-31.54492739,2022-01-20,1
-60.7350537,-31.0875585,2022-04-04,1
-60.7350537,-31.0875585,2022-05-20,1
-60.72902938,-35.17844225,2020-02-21,2
-60.72762308,-26.88825996,2022-08-22,0
-60.72583163,-31.03061813,2021-12-01,2
-60.72583163,-31.03061813,2022-01-03,1
-60.7237136,-31.0727001,2021-01-05,2
-60.6841589,-34.43178317,2022-05-09,0
-60.67791033,-33.86656965,2021-02-22,0
-60.6770664,-33.865895,2020-02-26,1
-60.67525751,-33.86664712,2022-03-24,0
-60.62496567,-34.21796343,2022-05-27,6
-60.58947,-34.66921397,2021-05-14,4
-60.55277341,-26.13143397,2022-08-22,0
-60.537521,-31.8494334,2021-01-15,3
-60.537521,-31.8494334,2021-01-27,0
-60.537521,-31.8494334,2021-02-03,0
-60.53440799,-31.8495118,2021-04-16,4
-60.53345334,-31.85091973,2023-04-24,0
-60.52905562,-31.85491114,2022-04-04,1
-60.52905562,-31.85491114,2022-04-19,1
-60.52905562,-31.85491114,2022-07-04,1
-60.49557324,-26.34840598,2022-08-22,0
-60.47190872,-32.29740469,2021-01-11,2
-60.47190872,-32.29740469,2021-01-27,0
-60.44866195,-32.29240673,2023-01-12,0
-60.4366968,-30.4309635,2022-11-20,3
-60.41465239,-34.48078113,2022-02-01,4
-60.4118464,-34.4834034,2022-05-27,2
-60.3986,-32.418617,2021-12-02,2
-60.3986,-32.418617,2022-01-03,1
-60.3974096,-32.4203127,2020-01-07,1
-60.3908116,-34.4568145,2020-02-14,5
-60.38824313,-34.46848753,2023-04-03,0
-60.3877791,-34.61107,2022-05-09,0
-60.3857329,-34.4693086,2021-02-08,0
-60.36243006,-32.29963892,2023-04-17,0
-60.3482365,-34.0675644,2020-03-20,2
-60.3324867,-38.3940951,2023-04-25,1
-60.322126,-31.8579095,2020-02-26,1
-60.32205737,-31.85411315,2021-11-26,3
-60.32205737,-31.85411315,2021-12-23,1
-60.3155363,-31.8683316,2023-01-12,0
-60.29517993,-26.1190111,2022-08-22,0
-60.291895,-26.126789,2019-08-07,0
-60.29177284,-34.19881745,2020-01-31,2
-60.2813742,-32.1649296,2022-04-04,3
-60.2813742,-32.1649296,2022-04-07,3
-60.2493606,-34.2253326,2021-01-26,0
-60.21803548,-38.2730737,2022-03-25,2
-60.21754521,-38.27382478,2020-03-19,2
-60.15401668,-34.78377423,2020-01-31,3
-60.14160655,-34.81830388,2021-01-26,0
-60.14160655,-34.81830388,2021-02-08,0
-60.13871635,-34.78962502,2022-03-23,0
-60.1208712,-34.3744151,2020-01-31,3
-60.1141082,-34.4795245,2020-01-31,2
-60.09951915,-34.45706244,2023-03-06,0
-60.0863129,-34.4541174,2022-05-27,0
-60.07204855,-34.46260667,2021-01-26,0
-60.0536041,-36.8643827,2023-04-25,1
-59.99589671,-38.42916104,2022-03-25,1
-59.99302922,-38.11633944,2021-04-09,1
-59.9719844,-36.8630546,2022-02-13,2
-59.96375289,-38.18684957,2023-04-25,0
-59.95880774,-34.87257405,2020-02-21,1
-59.95423876,-34.96050204,2022-04-21,0
-59.9503434,-38.18976614,2022-03-25,2
-59.9180318,-38.4784869,2021-04-09,0
-59.9130443,-36.8694986,2023-04-25,0
-59.8895758,-38.5147355,2020-03-19,3
-59.8208592,-32.7671343,2021-01-06,2
-59.8196111,-35.27573991,2021-01-26,0
-59.8196111,-35.27573991,2021-02-08,0
-59.75247923,-34.4221304,2022-02-02,0
-59.75247923,-34.4221304,2022-03-23,0
-59.74787216,-34.43128459,2020-01-31,2
-59.7428558,-34.4305581,2023-03-06,0
-59.74234459,-36.77592509,2022-02-13,1
-59.6917856,-31.0714197,2021-01-05,2
-59.6917856,-31.0714197,2021-01-27,0
