LON,LAT,rating_date,score,PRECTOTCORR_mean_win_1,PRECTOTCORR_mean_win_2,PRECTOTCORR_mean_win_3,RH2M_mean_win_1,RH2M_mean_win_2,RH2M_mean_win_3,T2M_mean_win_1,T2M_mean_win_2,T2M_mean_win_3,T2M_MAX_mean_win_1,T2M_MAX_mean_win_2,T2M_MAX_mean_win_3,T2M_MIN_mean_win_1,T2M_MIN_mean_win_2,T2M_MIN_mean_win_3,WS2M_mean_win_1,WS2M_mean_win_2,WS2M_mean_win_3,QTD_DIAS_PRECIP_MAIOR_3MM_win_1,QTD_DIAS_PRECIP_MAIOR_3MM_win_2,QTD_DIAS_PRECIP_MAIOR_3MM_win_3,QTD_MM_ACUMUL_win_1,QTD_MM_ACUMUL_win_2,QTD_MM_ACUMUL_win_3,QTD_DIAS_UMIDREL_MAIOR_80_win_1,QTD_DIAS_UMIDREL_MAIOR_80_win_2,QTD_DIAS_UMIDREL_MAIOR_80_win_3
-64.4912746,-26.2559675,2022-08-30,1,0,0.562,0.004,34.688,54.638,57.578,20.672,13.906,18.038,30.392,21.118,25.558,12.348,7.52,11.224,3.046,3.122,2.762,0,0,0,0,2.81,0.02,0,0,0
-64.4895472,-35.2059501,2023-04-10,1,1.862,4.818,3.414,69.086,72.462,68.2,20.774,21.232,26.146,28.278,27.05,33.578,14.58,16.928,20.208,0.608,0.672,0.488,2,2,1,9.31,24.09,17.07,0,1,0
-64.47936422,-33.559293,2020-03-10,2,0.226,4.488,0.018,50.938,63.44,64.324,19.74,22.642,24.154,28.59,31.49,32.09,12.088,15.202,17.332,0.104,0.048,0.022,0,2,0,1.13,22.44,0.09,0,0,0
-64.4670747,-33.6301642,2022-02-02,4,1.972,0,0,52.85,34.462,45.426,25.602,30.932,24.738,33.22,40.872,34.214,18.65,21.34,15.91,0.054,0.064,0.078,1,0,0,9.86,0,0,0,0,0
-64.4564586,-32.88016891,2021-05-31,2,0,0,0.158,71.998,73.288,73.298,12.918,10.316,10.608,22.012,18.84,16.192,7.09,4.414,6.49,0.234,0.234,0.256,0,0,0,0,0,0.79,1,0,1
-64.4446205,-26.37602487,2020-06-19,1,0.254,0,0.022,57.186,50.188,48.1,13.408,18.362,14.536,20.85,26.49,22.972,7.814,12.328,7.998,2.39,2.698,2.736,0,0,0,1.27,0,0.11,0,0,0
-64.4444,-26.3606,2020-06-19,1,0.254,0,0.022,57.186,50.188,48.1,13.408,18.362,14.536,20.85,26.49,22.972,7.814,12.328,7.998,2.39,2.698,2.736,0,0,0,1.27,0,0.11,0,0,0
-64.44078709,-31.54494886,2022-02-16,4,0.126,3.248,14.12,55.926,80,71.598,23.546,21.58,24.92,32.256,27.09,31.97,15.442,17.126,19.166,0.244,0.248,0.242,0,2,3,0.63,16.24,70.6,0,3,1
-64.4374289,-25.0732815,2022-08-30,1,0,0.156,0.036,34.802,57.04,59.738,20.13,13.338,17.89,30.324,20.768,25.414,11.456,6.986,11.634,2.27,2.156,2.018,0,0,0,0,0.78,0.18,0,0,0
-64.4296707,-23.0404868,2022-07-01,1,0,0,0,36.24,62.65,64.9,17.542,16.972,18.134,25.764,22.474,25.118,11.05,12.4,12.224,0.596,0.496,0.542,0,0,0,0,0,0,0,0,0
