LON,LAT,rating_date,score,WS2M,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ID
-65.1684312,-33.7498586,2020-03-10,1,1.11,21.36,29.44,14.9,0.88,49.5,2
-65.1684312,-33.7498586,2020-03-10,1,0.83,19.58,28.23,12.23,0,40.94,1
-65.1402,-25.5501,2020-06-19,1,3.21,8.98,13.63,5.14,0.7,74.19,15
-65.1402,-25.5501,2020-06-19,1,0.96,8.98,16.83,3.8,0,59.5,14
-65.1402,-25.5501,2020-06-19,1,1.45,13.83,23.79,5.36,0,45.12,13
-65.1402,-25.5501,2020-06-19,1,1.89,16.76,25.08,11.74,0,37.75,12
-65.1402,-25.5501,2020-06-19,1,1.75,14.93,24.26,9.15,0,45.88,11
-65.1402,-25.5501,2020-06-19,1,2.18,16.21,27.08,8.94,0,46.88,10
-65.1402,-25.5501,2020-06-19,1,1.46,16.56,25.01,10.19,0,50.88,9
-65.1402,-25.5501,2020-06-19,1,1.59,17.96,26.89,12.01,0,52.81,8
-65.1402,-25.5501,2020-06-19,1,2.28,17.1,24.38,12.31,0.01,57.94,7
-65.1402,-25.5501,2020-06-19,1,1.79,10.74,15.11,7.19,0.01,69.94,6
-65.1402,-25.5501,2020-06-19,1,1.2,9.23,14.87,5.98,0,73.19,5
-65.1402,-25.5501,2020-06-19,1,1.75,10.3,18.8,4.97,0,63.94,4
-65.1402,-25.5501,2020-06-19,1,1.98,11.43,20.06,4.63,0,66.12,3
-65.1402,-25.5501,2020-06-19,1,1.68,9.06,11.01,7,3,81.5,2
-65.1402,-25.5501,2020-06-19,1,1.16,9.78,18.87,3.85,0.31,68,1
-65.12532308,-25.95187401,2021-04-07,1,2.15,22.33,28.41,16.6,0,72.12,15
-65.12532308,-25.95187401,2021-04-07,1,1.68,23.52,29.23,18.44,0.17,73.75,14
-65.12532308,-25.95187401,2021-04-07,1,2.19,20.2,24.07,17.8,19,89.06,13
-65.12532308,-25.95187401,2021-04-07,1,1.78,19.06,23.55,15.83,12.96,88.19,12
-65.12532308,-25.95187401,2021-04-07,1,2.12,19.69,22.91,17.35,16.4,91.88,11
-65.12532308,-25.95187401,2021-04-07,1,3.47,21.55,25.71,17.87,3.72,86.69,10
-65.12532308,-25.95187401,2021-04-07,1,2.16,22.58,28.39,18.22,5.03,83.5,9
